Date,   ETB   ,   EUR   ,   GBP   ,   KES   ,   TZS   ,   USD   
1/1/12,0.56319,12.88155,15.82416,0.11548,0.00623,9.66529
1/2/12,0.54981,12.55794,15.34443,0.17953,0.00698,9.66529
1/3/12,0.5552,13.4331,15.62478,0.11789,0.0064,9.66529
1/4/12,0.72326,20.07837,21.64192,0.17254,0.00792,9.66529
1/5/12,0.55252,12.77708,15.43814,0.12216,0.00656,9.66529
1/6/12,0.55178,12.3142,15.7801,0.12049,0.00636,9.66529
1/7/12,0.55771,12.83831,15.96206,0.11851,0.00848,9.66529
1/8/12,0.55561,22.57421,16.04385,0.1615,0.00637,9.66529
1/9/12,0.56899,13.51326,15.71447,0.1208,0.00626,9.66529
1/10/12,0.55447,17.76185,15.11562,0.11976,0.00635,9.66529
1/11/12,0.56353,12.68709,15.64668,0.11692,0.00652,9.66529
1/12/12,0.55532,12.67633,15.69068,0.12031,0.00625,9.66529
1/13/12,0.56077,12.8715,16.06156,0.11754,0.00631,9.66529
1/14/12,0.5566,12.83261,16.48285,0.12072,0.00642,9.66529
1/15/12,0.56701,12.75392,15.47465,0.12168,0.00633,9.66529
1/16/12,0.56821,12.66334,15.94883,0.11775,0.00632,9.66529
1/17/12,0.49732,12.88988,15.76087,0.11845,0.00633,9.66529
1/18/12,0.55529,12.88548,22.28745,0.12049,0.00635,9.66529
1/19/12,0.56208,12.42451,15.76767,0.12282,0.00639,9.66529
1/20/12,0.55994,13.35466,16.52734,0.11858,0.00641,9.66529
1/21/12,0.55245,12.54198,15.01458,0.11793,0.0064,9.66529
1/22/12,0.55826,12.98447,15.41094,0.11815,0.00646,9.66529
1/23/12,0.56491,13.38524,14.72333,0.12088,0.00644,9.66529
1/24/12,0.55974,12.68484,22.33665,0.17913,0.00701,9.66529
1/25/12,0.5677,12.82776,15.66091,0.11912,0.0064,9.66529
1/26/12,0.56593,12.69576,15.67501,0.12163,0.0063,9.66953
1/27/12,0.5578,13.25454,16.38941,0.1221,0.00626,9.67041
1/28/12,0.70487,15.82767,21.79524,0.15407,0.0075,9.67124
1/29/12,0.55523,13.09948,14.94193,0.11595,0.00654,9.6722
1/30/12,0.48001,12.70821,15.67947,0.12072,0.00629,9.67274
1/31/12,0.56924,13.30683,15.38343,0.11666,0.00625,9.67362
